title,subtitle,description,pagination,number_of_pages,volumns,physical_format,physical_dimensions,weight,isbn_10,isbn_13,oclc_number,lccn_number,dewey_number,lc_classifications,language,publish_date,publish_country,publish_place,cover,ol_key,grade,publisher_id,work_id,created_by,created_at,last_modified_by,last_modified_at,revision
"Fiebre sangrienta",null,null,null,null,null,null,null,null,null,"9788415410164",null,null,null,null,null,null,null,null,"8188266","/books/OL26459148M",45,"30",80,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Ok kan chygaryp ȯltu̇rȯt, sȯz kan chygarbaĭ ȯltu̇rȯt","an︠g︡gemeler, yrlar",null,"271 p.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"/books/OL44646624M",110,"31",211,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"This is racing","tactics and strategy in action",null,"xii, 179 p. :",null,null,null,null,null,"0914814079",null,null,"77151669",null,null,"English",null,null,null,null,"/books/OL4579302M",130,"32",186,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Growth and development through the lifespan",null,null,"p. ;",null,null,null,null,null,"0763756490","9780763756499",null,"2008008446",null,null,"English",null,null,null,"5345504","/books/OL16637516M",165,"33",135,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"King Solomon's Mines",null,null,"347",null,null,null,null,"0.595",null,"9781729225059",null,null,null,null,"English",null,null,null,null,"/books/OL40771492M",30,"4",40,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Ahmadiyya and their literature.",null,null,"17 microfiches.",null,null,null,null,null,null,null,null,"2003305903",null,null,null,null,null,null,null,"/books/OL3709266M",10,"34",232,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Vital Intermittent Fast Diet for Diabetics","The Complete Guide with Meal Plans and Delicious Recipes to Manage Diabetes and Promote Overall Health",null,"241",null,null,null,null,"0.377",null,"9798479498084",null,null,null,null,"English",null,null,null,null,"/books/OL37702482M",130,"4",136,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Erotic Performance and Spectatorship","New Frontiers in Erotic Dance",null,null,null,null,null,null,null,null,"9781317393733",null,null,null,null,"English",null,null,null,null,"/books/OL54045272M",130,"35",131,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Game on 5th Grade","Two Column Ledger",null,"102",null,null,null,null,"0.259",null,"9781794031135",null,null,null,null,"English",null,null,null,null,"/books/OL41113651M",130,"4",92,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Oil","A plain man's guide to the world's energy crisis",null,null,null,null,null,null,null,"0851170846","9780851170848",null,null,null,null,"English",null,null,null,null,"/books/OL8277822M",50,"16",145,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Science, Technology and Everyday Life, 1870-1950",null,null,null,null,null,null,null,null,"0415035570","9780415035576",null,null,null,null,"English",null,null,null,null,"/books/OL10186458M",150,"36",28,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Massachusetts Body of Liberties",null,null,"64",null,null,null,null,null,null,"9781502636140",null,null,null,null,"English",null,null,null,null,"/books/OL38871552M",130,"37",195,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"What Makes You So Special",null,null,null,null,null,null,null,null,"0801005264","9780801005268",null,null,null,null,null,null,null,null,"14052589","/books/OL7845079M",165,"38",154,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
