title,subtitle,description,pagination,number_of_pages,volumns,physical_format,physical_dimensions,weight,isbn_10,isbn_13,oclc_number,lccn_number,dewey_number,lc_classifications,language,publish_date,publish_country,publish_place,cover,ol_key,grade,publisher_id,work_id,last_created_by,last_created_at,last_modified_by,last_modified_at
'I Want to Draw Horses',null,null,'24',null,null,null,null,'0.111',null,'9781508167921',null,null,null,null,'English',null,null,null,null,'/books/OL38881718M',130,'2272','8034526','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'46 and Wonderful','Cadeau 46 Ans Anniversaire / Cahier Souhaiter Joyeux Anniversaire / 120 Pages / 6x9 Pouces',null,'120',null,null,null,null,'0.236',null,'9798734101094',null,null,null,null,'French',null,null,null,null,'/books/OL48317846M',30,'37241','2163706','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Ferrari 250 GTO',null,null,null,null,null,null,null,null,'0850455057','9780850455052',null,null,null,null,null,null,null,null,null,'/books/OL11593050M',50,'48308','8400952','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Scribing the Soul',null,null,null,null,null,null,null,null,'0955811309','9780955811302',null,null,null,null,null,null,null,null,null,'/books/OL46888512M',150,'1388445','20890488','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Fransız belgeleriyle Sevr-Lozan-Musul üçgeninde Kürdistan',null,null,'184 p. :',null,null,null,null,null,null,null,null,'96955064',null,null,'Turkish',null,null,null,null,'/books/OL652626M',10,'1392075','27448','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Ramón María Del Valle-Inclán - Sonata de Estío',null,null,'58',null,null,null,null,'0.136',null,'9781096034599',null,null,null,null,'Spanish',null,null,null,null,'/books/OL40975803M',130,'37241','3171087','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Shahīd-i lālah ruk̲h̲ ʻAllāmah Muḥammad Shuʻaib Nadīm kī nādir taqārīr kā majmūʻah almaʻrūf kh̲ut̤bāt-i Shuʻaib Nadīm',null,null,'480 p. ;',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,'/books/OL19066187M',10,'1417045','453680','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'[Paintings].',null,null,null,null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL13667021M',0,null,'23746568','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Artuzov',null,null,'472 p., [4] :',null,null,null,null,null,null,'9785235031319',null,'2009394267',null,null,'Russian',null,null,null,null,'/books/OL23194826M',30,'13070','8455258','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Planning Urban Health Services - from Jungle to System',null,null,'384',null,null,null,null,null,null,'9780826116512',null,null,null,null,'English',null,null,null,null,'/books/OL38839239M',130,'44868','20128158','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
